Site,SubSample,Trap Type,Order,Family,# Count,Total Site EPT Richness
10A,1,Dip,Diptera,Simuliidae,1,
10A,1,Dip,Diptera,Chironomidae,2,
10A,1,Hess,Ephemeroptera,Baetidae,1,
10A,1,Hess,Plecoptera,Leuctridae,5,
10A,1,Hess,Trichoptera,Polycentropodidae,1,
10A,1,Hess,Trichoptera,Hydropsychidae,1,
10A,1,Hess,Diptera,Chironomidae,5,
10A,1,Seine,Plecoptera,Leuctridae,2,
10A,1,Seine,Plecoptera,Perlodidae,1,
10A,1,Seine,Trichoptera,Hydropsychidae,7,
10A,1,Seine,Trichoptera,Philopotamidae,4,
10A,1,Seine,Diptera,Chironomidae,7,6
12A,1,Dip,Diptera,Chironomidae,2,0
15A,1,Seine,Diptera,Chironomidae,1,0
15A,2,Hess,Plecoptera,Chloroperlidae,1,
15A,2,Hess,Diptera,Chironomidae,1,
33A,1,Dip,Ephemeroptera,Caenidae,2,
33A,1,Dip,Diptera,Chironomidae,1,
33A,1,Hess,Ephemeroptera,Caenidae,5,
33A,1,Hess,Diptera,Chironomidae,4,
33A,1,Kick,Ephemeroptera,Heptageniidae,2,
33A,1,Kick,Ephemeroptera,Caenidae,1,
33A,1,Kick,Diptera,Chironomidae,9,
33A,2,Hess,Diptera,Chironomidae,4,
33A,3,Hess,Ephemeroptera,Caenidae,2,3
33A,3,Hess,Ephemeroptera,Leptophlebiidae,1,
33A,3,Hess,Diptera,Chironomidae,23,
43M,1,Dip,Plecoptera,Perlidae,1,
43M,1,Dip,Trichoptera,Hydropsychidae,1,
43M,1,Dip,Diptera,Chironomidae,2,
43M,1,Hess,Ephemeroptera,Heptageniidae,2,
43M,1,Hess,Diptera,Chironomidae,1,
43M,1,Seine,Trichoptera,Hydropsychidae,2,
50A,1,Dip,Ephemeroptera,Baetidae,1,3
50A,1,Dip,Ephemeroptera,Caenidae,2,
50A,1,Dip,Odonata,Libellulidae,1,
50A,1,Dip,Odonata,Coenagrionidae,2,
50A,1,Dip,Diptera,Chironomidae,3,
50A,1,Dip,Ephemeroptera,Heptageniidae,5,
50A,1,Dip,Ephemeroptera,Leptophlebiidae,1,
50A,1,Hess,Odonata,Coenagrionidae,1,
50A,1,Hess,Diptera,Chironomidae,3,
50A,1,Hess,Ephemeroptera,Caenidae,6,
50A,1,Hess,Ephemeroptera,Heptageniidae,4,
50A,1,Hess,Ephemeroptera,Leptophlebiidae,2,
50A,1,Seine,Ephemeroptera,Baetidae,1,
50A,1,Seine,Ephemeroptera,Caenidae,3,
50A,1,Seine,Ephemeroptera,Heptageniidae,27,
50A,1,Seine,Diptera,Chironomidae,103,
50A,1,Seine,Megaloptera,Sialidae,1,
50A,1,Seine,Ephemeroptera,Isonychiidae,1,
50A,1,Seine,Ephemeroptera,Leptophlebiidae,2,
50A,2,Hess,Ephemeroptera,Baetidae,2,
50A,2,Hess,Ephemeroptera,Caenidae,8,
50A,2,Hess,Ephemeroptera,Heptageniidae,2,
50A,2,Hess,Diptera,Chironomidae,62,
50A,2,Hess,Diptera,Tipulidae,3,
50A,2,Hess,Megaloptera,Sialidae,1,
50A,3,Hess,Ephemeroptera,Heptageniidae,6,
50A,3,Hess,Ephemeroptera,Leptophlebiidae,2,
50A,3,Hess,Diptera,Chironomidae,19,
50A,3,Hess,Megaloptera,Sialidae,1,
51A,1,Hess,Ephemeroptera,Leptophlebiidae,2,5
51A,1,Hess,Ephemeroptera,Caenidae,1,
51A,1,Hess,Ephemeroptera,Siphlonuridae,4,
51A,1,Hess,Ephemeroptera,Isonychiidae,2,
51A,1,Hess,Ephemeroptera,Baetidae,1,
51A,1,Hess,Ephemeroptera,Ephemerellidae,3,
51A,1,Hess,Ephemeroptera,Ameletidae,1,
51A,1,Hess,Trichoptera,Hydropsychidae,1,
51A,1,Hess,Trichoptera,Philopotamidae,1,
51A,1,Hess,Trichoptera,Polycentropodidae,1,
51A,1,Hess,Coleoptera,Elmidae,10,
51A,1,Hess,Coleoptera,Gyrinidae,1,
51A,1,Hess,Diptera,Chironomidae,5,
51A,1,Hess,Diptera,Ceratopogonidae,1,
51A,1,Hess,Diptera,Simuliidae,1,
51A,2,Hess,Ephemeroptera,Heptageniidae,2,
51A,2,Hess,Ephemeroptera,Siphlonuridae,1,
51A,2,Hess,Coleoptera,Elmidae,1,
51A,2,Hess,Odonata,Gomphidae,1,
51A,2,Hess,Diptera,Chironomidae,1,
51A,3,Hess,Ephemeroptera,Siphlonuridae,10,
51A,3,Hess,Ephemeroptera,Heptageniidae,3,
51A,3,Hess,Ephemeroptera,Isonychiidae,1,
51A,3,Hess,Ephemeroptera,Leptophlebiidae,2,
51A,3,Hess,Ephemeroptera,Caenidae,1,
51A,3,Hess,Trichoptera,Hydropsychidae,2,
51A,3,Hess,Trichoptera,Philopotamidae,3,
51A,3,Hess,Diptera,Chironomidae,3,
62A,1,Dip,Ephemeroptera,Baetidae,12,11
62A,1,Dip,Plecoptera,Chloroperlidae,1,
62A,1,Dip,Ephemeroptera,Heptageniidae,1,
62A,1,Dip,Ephemeroptera,Isonychiidae,1,
62A,1,Dip,Plecoptera,Leuctridae,3,
62A,1,Dip,Trichoptera,Limnephilidae,3,
62A,1,Hess,Ephemeroptera,Caenidae,27,
62A,1,Hess,Coleoptera,Elmidae,9,
62A,1,Hess,Odonata,Gomphidae,1,
62A,1,Hess,Diptera,Tabanidae,4,
62A,1,Hess,Ephemeroptera,Ephemeridae,2,
62A,1,Hess,Ephemeroptera,Heptageniidae,17,
62A,1,Hess,Trichoptera,Lepidostomatidae,1,
62A,1,Hess,Trichoptera,Limnephilidae,1,
62A,1,Hess,Ephemeroptera,Neoephemeridae,2,
62A,1,Seine,Ephemeroptera,Baetidae,4,
62A,1,Seine,Plecoptera,Chloroperlidae,3,
62A,1,Seine,Ephemeroptera,Heptageniidae,2,
62A,1,Seine,Plecoptera,Nemouridae,1,
62A,1,Seine,Plecoptera,Perlodidae,2,
62A,1,Seine,Diptera,Chironomidae,2,
62A,1,Seine,Diptera,Simuliidae,3,
62A,2,Hess,Ephemeroptera,Caenidae,1,
62A,2,Hess,Ephemeroptera,Heptageniidae,18,
62A,2,Hess,Neuroptera,Sisyridae,1,
62A,2,Hess,Coleoptera,Elmidae,5,
62A,2,Hess,Diptera,Simuliidae,4,
62A,2,Hess,Diptera,Chironomidae,5,
62A,2,Hess,Diptera,Tabanidae,1,11
62A,2,Hess,Trichoptera,Hydropsychidae,1,
62A,2,Hess,Ephemeroptera,Leptophlebiidae,1,
62A,2,Hess,Ephemeroptera,Neoephemeridae,4,
62A,2,Hess,Ephemeroptera,Siphlonuridae,5,
62A,2,Seine,Ephemeroptera,Baetidae,2,
62A,2,Seine,Ephemeroptera,Heptageniidae,3,
62A,2,Seine,Trichoptera,Hydropsychidae,1,
62A,2,Seine,Diptera,Simuliidae,1,
62A,2,Seine,Plecoptera,Nemouridae,1,
62A,3,Hess,Ephemeroptera,Caenidae,16,
62A,3,Hess,Plecoptera,Capniidae,5,
62A,3,Hess,Ephemeroptera,Heptageniidae,12,
62A,3,Hess,Coleoptera,Elmidae,8,
62A,3,Hess,Diptera,Chironomidae,17,
62A,3,Hess,Diptera,Psychodidae,1,
62A,3,Hess,Plecoptera,Leuctridae,1,
62A,3,Hess,Trichoptera,Limnephilidae,1,
62A,3,Hess,Ephemeroptera,Neoephemeridae,4,
62A,3,Hess,Plecoptera,Perlodidae,2,
70A,1,Hess,Ephemeroptera,Baetidae,26,
70A,1,Hess,Ephemeroptera,Heptageniidae,1,
70A,1,Hess,Plecoptera,Leuctridae,1,
70A,1,Hess,Plecoptera,Capniidae,1,
70A,1,Hess,Trichoptera,Hydropsychidae,87,
70A,1,Hess,Trichoptera,Hydroptilidae,2,
70A,1,Hess,Coleoptera,Elmidae,47,
70A,1,Hess,Diptera,Chironomidae,31,
70A,1,Hess,Diptera,Simuliidae,4,
70A,1,Hess,Megaloptera,Corydalidae,1,
70A,2,Hess,Ephemeroptera,Baetidae,15,
70A,2,Hess,Ephemeroptera,Heptageniidae,3,
70A,2,Hess,Ephemeroptera,Ameletidae,1,
70A,2,Hess,Trichoptera,Hydropsychidae,63,
70A,2,Hess,Trichoptera,Limnephilidae,1,
70A,2,Hess,Trichoptera,Hydroptilidae,4,
70A,2,Hess,Diptera,Chironomidae,41,
70A,2,Hess,Diptera,Simuliidae,4,
70A,2,Hess,Diptera,Ceratopogonidae,2,
70A,2,Hess,Diptera,Empididae,1,
70A,2,Hess,Megaloptera,Corydalidae,1,
70A,3,Hess,Ephemeroptera,Baetidae,22,
70A,3,Hess,Ephemeroptera,Heptageniidae,5,
70A,3,Hess,Trichoptera,Hydropsychidae,117,
70A,3,Hess,Trichoptera,Polycentropodidae,1,
70A,3,Hess,Trichoptera,Philopotamidae,1,
70A,3,Hess,Diptera,Tipulidae,2,
70A,3,Hess,Diptera,Chironomidae,104,
70A,3,Hess,Diptera,Simuliidae,1,
71A,1,Dip,Ephemeroptera,Baetidae,33,10
71A,1,Dip,Diptera,Simuliidae,4,
71A,1,Hess,Ephemeroptera,Baetidae,4,
71A,1,Hess,Plecoptera,Leuctridae,1,
71A,1,Hess,Trichoptera,Hydropsychidae,13,
71A,1,Hess,Diptera,Chironomidae,13,
71A,1,Hess,Diptera,Simuliidae,3,
71A,1,Seine,Ephemeroptera,Baetidae,3,
71A,1,Seine,Trichoptera,Hydropsychidae,52,
71A,1,Seine,Trichoptera,Leptoceridae,4,
71A,1,Seine,Diptera,Simuliidae,4,
71A,1,Seine,Diptera,Tipulidae,1,
71A,1,Seine,Diptera,Chironomidae,1,
71A,2,Hess,Ephemeroptera,Baetidae,4,
71A,2,Hess,Trichoptera,Hydropsychidae,1,
71A,2,Hess,Diptera,Chironomidae,16,
71A,3,Hess,Ephemeroptera,Baetidae,1,
71A,3,Hess,Trichoptera,Hydropsychidae,7,
73A,1,Hess,Ephemeroptera,Heptageniidae,6,4
73A,1,Hess,Ephemeroptera,Leptophlebiidae,3,16
73A,1,Hess,Plecoptera,Perlidae,1,
73A,1,Hess,Plecoptera,Capniidae,2,
73A,1,Hess,Coleoptera,Elmidae,2,
73A,1,Hess,Odonata,Coenagrionidae,4,
73A,1,Hess,Odonata,Gomphidae,1,
73A,2,Hess,Ephemeroptera,Heptageniidae,10,
73A,2,Hess,Ephemeroptera,Leptophlebiidae,3,
73A,2,Hess,Ephemeroptera,Isonychiidae,1,
73A,2,Hess,Ephemeroptera,Caenidae,1,
73A,2,Hess,Trichoptera,Hydropsychidae,1,
73A,2,Hess,Coleoptera,Elmidae,3,
73A,2,Hess,Diptera,Chironomidae,1,
73A,3,Hess,Ephemeroptera,Caenidae,3,
73A,3,Hess,Ephemeroptera,Heptageniidae,2,
73A,3,Hess,Ephemeroptera,Leptophlebiidae,3,
73A,3,Hess,Ephemeroptera,Baetidae,1,
73A,3,Hess,Diptera,Culicidae,2,
75A,1,Dip,Ephemeroptera,Baetidae,5,
75A,1,Dip,Diptera,Tabanidae,1,
75A,1,Dip,Megaloptera,Sialidae,1,
75A,1,Hess,Ephemeroptera,Baetidae,1,
75A,1,Hess,Trichoptera,Philopotamidae,2,
75A,1,Hess,Trichoptera,Hydropsychidae,4,
75A,1,Hess,Odonata,Aeshaidae,1,
75A,1,Hess,Hemiptera,Corixidae,2,
75A,1,Kick,Ephemeroptera,Baetidae,4,
75A,1,Kick,Ephemeroptera,Heptageniidae,1,
75A,1,Kick,Odonata,Aeshaidae,1,
75A,1,Kick,Diptera,Chironomidae,1,4
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,10
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,4
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,0
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,8
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,8
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,4
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,1
